Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
mediamarktsaturn.com,Retail,USD 23 237 875 000,65000,USD 153 200,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,plusserver,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
MediaMath,Business Services,USD 260 012 000,750,USD 135 500,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Prometheus; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Mediaocean,Software,USD 343 042 000,1600,USD 111 700,PostgreSQL; MySQL; Redis; InfluxDB; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,,Elasticsearch; Apache Lucene
Medidata Solutions,Software,USD 687 614 000,2679,USD 104 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka; Apache Flink,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
MedImpact Healthcare,Insurance,USD 2 907 448 000,2303,USD 51 300,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; Jenkins; Snowflake; Splunk; Apache Kafka,Snowflake Computing,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
MEDITECH,Software,USD 720 577 000,3753,USD 33 900,MySQL; Kubernetes; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,Google Compute Engine,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,
Meesho,Business Services,USD 61 860 000 000,310000,USD 4 655 400,MySQL; MySQL; Redis; Redis; InfluxDB; ClickHouse; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Kafka; Apache Flink,Amazon EC2,Amazon Simple Email Service (SES),"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service; EnterpriseDB,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Meesho,Retail,USD 300 200 000,1422,USD 1 447 500,PostgreSQL; MySQL; Redis; Kubernetes; Jenkins; Apache Kafka,Amazon EC2,Oracle,,MySQL; PostgreSQL,Confluent; Apache Kafka,
Megger,Manufacturing,USD 353 043 000,1300,USD 7 700,MySQL,Amazon EC2,Microsoft Azure,,MySQL,,
Melbourne Archdiocese Catholic Schools,Education,USD 2 005 603 779,377,,,,,,,,
Melia Hotels International,Hospitality,USD 2 068 687 000,23434,USD 17 900,MySQL; Jenkins,Amazon EC2,Microsoft Azure,,MySQL,,
Meltwater Group,Software,USD 462 114 000,2200,USD 493 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
MemorialCare,Hospitals & Physicians Clinics,USD 1 468 019 000,10000,USD 75 600,PostgreSQL; MySQL; Splunk; Apache Kafka,Oracle,Oracle Cloud,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,
Memorial Sloan Kettering Cancer Center,Hospitals & Physicians Clinics,USD 7 700 000 000,20000,USD 128 200,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,givetomsk.net,Kubernetes,MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Mencap,Healthcare Services,USD 306 743 000,5687,USD 19 700,MySQL; Jenkins,Amazon EC2,Pantheon Platform,,MySQL,,
Mendix,Software,USD 332 539 000,1500,USD 131 200,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,
Mercari USA,Retail,USD 1 243 642 000,2101,USD 2 770 500,MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Prometheus; Apache Kafka,Google Compute Engine,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Mercedes-Benz Australia/Pacific,Consumer Services,USD 417 408 000,645,USD 7 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Apache Kafka,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Mercedes-Benz Canada,Manufacturing,USD 242 945 000,1654,USD 25 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka,Kubernetes,Amazon EC2,Kubernetes,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Mercedes-Benz Cars UK,Retail,USD 1 184 400 000,501,USD 50 800,PostgreSQL; MySQL; Kubernetes; Docker; Jenkins; Apache Kafka,Amazon EC2,Rackspace,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Mercedes-Benz Research and Development India,Business Services,USD 1 100 000 000,5500,USD 400,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Microsoft Azure,,,MySQL; PostgreSQL,Apache Kafka,
Mercedes-Benz USA,Manufacturing,USD 521 138 000,1760,USD 358 300,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Prometheus; Splunk,Amazon EC2,Dealer Inspire,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Mercell,Software,USD 76 894 000,596,,PostgreSQL; Kubernetes; HashiCorp Terraform; Apache Kafka,,,,,,
Merck KGaA,Manufacturing,USD 24 183 748 000,64011,USD 15 000,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Databricks,Amazon EC2,,MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Mercury NZ,"Energy, Utilities & Waste",USD 1 241 509 000,870,USD 15 400,Redis; HashiCorp Terraform; Splunk,Amazon EC2,SAP Cloud,,,,
Mercury Systems,Manufacturing,USD 999 971 000,2596,USD 9 700,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Docker; Jenkins; Apache Kafka,Amazon EC2,AWS Rekognition,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
MeridianLink,Software,USD 299 589 000,751,USD 64 400,PostgreSQL; MySQL; Redis; Kubernetes; Jenkins; Splunk,Databricks,Amazon EC2,,MySQL; PostgreSQL,,Elasticsearch
Merit International,Software,USD 25 207 000,40,,,,,,,,
Mestek,Manufacturing,USD 991 428 000,2584,USD 27 600,MySQL,Microsoft Azure,Oracle Cloud,,MySQL,,
mestergruppen.no,Hospitality,USD 22 000 000,50,USD 24 700,Apache Flink,acquisitionfactory.com,Amazon EC2,,,,
Meta,Business Services,USD 397 093 000,2500,USD 19 800,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Metro Bank,Finance,USD 481 372 000,4184,USD 17 100,Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,"Acquia, Inc.",,Microsoft Azure SQL Database,Confluent; Apache Kafka,
mhp.com,Business Services,USD 300 000 000,1500,USD 6 800,,Amazon EC2,Microsoft Azure,,MySQL,Apache Kafka,
Michael Baker International,Construction,USD 571 554 000,3000,USD 14 500,PostgreSQL; MySQL; Docker; HashiCorp Terraform; Apache Kafka,Amazon EC2,CyberArk Software,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Michelin,Manufacturing,USD 28 439 514 000,125000,USD 697 300,PostgreSQL; MySQL; MySQL; Redis; Redis; Apache Cassandra; Apache Cassandra; Grafana; MongoDB; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure China,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
MICHELIN Italiana SpA,Retail,USD 802 223 000,3800,USD 3 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,,PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Michelin Reifenwerke,Manufacturing,USD 745 997 000,695,USD 4 400,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Hetzner Online GmbH,Microsoft Azure,,PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Microland,Business Services,USD 1 096 774 000,5500,USD 62 800,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Splunk,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Micron Technology,Manufacturing,USD 31 168 999 000,44000,USD 234 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Microsoft,Software,USD 227 583 000 000,221000,USD 38 040 300,PostgreSQL; ClickHouse; Grafana; Kubernetes; Docker; HashiCorp Terraform; Datadog; Couchbase; Snowflake; Splunk; Apache Flink,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Microsoft Azure HDInsight; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
MicroStrategy,Software,USD 507 137 000,2200,USD 249 400,,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Midco,Telecommunications,USD 561 709 000,1682,USD 35 700,MySQL; Splunk,Amazon EC2,Rackspace,,MySQL,,
Milacron,Manufacturing,USD 1 175 912 000,5000,USD 10 400,MySQL,Microsoft Azure,AWS Rekognition,,MySQL,,
Mimecast,Business Services,USD 649 978 000,2000,USD 744 200,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Informa,SpectrumTBM,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Mindbody,Software,USD 315 078 000,1500,USD 801 900,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake,Amazon EC2,Pantheon Platform,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Ministerio de Fomento,Government,USD 285 907 000,6717,USD 8 700,PostgreSQL; MySQL,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL,,
Miracle Software Systems,Business Services,USD 525 195 000,2600,USD 68 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Mirakl SAS,Software,USD 243 267 000,650,USD 298 400,PostgreSQL; MySQL; Apache Cassandra; Kubernetes; HashiCorp Terraform; Apache Kafka,Amazon EC2,Google Compute Engine,Kubernetes; Docker,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Miro,Software,USD 378 093 000,1800,USD 992 500,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka,Veeam Software,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Miro.com (EMEA),Software,USD 378 093 000,1800,,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka,,,,,,
Mitchell International,Business Services,USD 476 977 000,6000,USD 43 700,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Docker; Docker; HashiCorp Terraform; Jenkins; Jenkins; Snowflake; Splunk; Apache Kafka,"Acquia, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Mitel,Telecommunications,USD 1 404 271 000,3300,USD 168 500,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Splunk; Apache Kafka,Amazon EC2,SSC - Swedish Space,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; EnterpriseDB,Apache Kafka,Elasticsearch
MLB,Hospitality,USD 7 000 000 000,5500,USD 885 900,,Google Compute Engine,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
MMG Limited,Minerals & Mining,USD 4 255 000 000,4550,,,,,,,,
Mobileum,Software,USD 378 093 000,1800,USD 9 000,PostgreSQL; MySQL; MariaDB; Kubernetes; Docker; Jenkins; Couchbase; Apache Kafka,Amazon EC2,Microsoft Azure,,MySQL; MariaDB; PostgreSQL,Apache Kafka,
Mobileye,Manufacturing,USD 1 869 000 000,3500,USD 66 100,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Modernizing Medicine,Software,USD 296 095 000,1153,USD 71 100,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Mollie B.V.,Finance,USD 360 894 000,700,USD 90 900,MySQL; Redis; Grafana; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Datadog; Apache Kafka,Google Compute Engine,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,,
MoneySuperMarket,Media & Internet,USD 553 265 000,780,USD 108 300,MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
MongoDB,Software,USD 1 586 321 000,4849,USD 1 446 600,PostgreSQL; MySQL; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Monmouthshire County Council,Government,USD 375 165 000,2709,USD 3 800,MySQL; Jenkins,Amazon EC2,RapidSwitch - an iomart company,,MySQL,,
Monotype,Software,USD 269 524 000,900,USD 122 400,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Snowflake; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Monster Worldwide,Business Services,USD 2 093 366 000,5000,USD 1 646 900,PostgreSQL; MySQL; Redis; MongoDB; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Moody's Investors Service,Finance,USD 6 140 000 000,15151,USD 187 100,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Datadog; Prometheus; Snowflake; Apache Kafka; Apache Flink,Databricks,CyberArk Software,Kubernetes; Docker,MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Morningstar,Finance,USD 2 038 600 000,12224,USD 1 174 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Jenkins; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"Trend Micro, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Moss Adams,Business Services,USD 803 075 000,4400,USD 21 300,PostgreSQL; MySQL; MongoDB; Kubernetes; Snowflake,Ntirety,Microsoft Azure,,MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Motorola Mobility,Manufacturing,USD 13 274 269 000,71239,USD 219 100,PostgreSQL; PostgreSQL; MySQL; Apache Cassandra; Apache Cassandra; Kubernetes; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Couchbase; Splunk; Splunk; Apache Kafka; Apache Kafka,Lenovo,Amazon EC2,,MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
motorolasolutions.com,Manufacturing,USD 9 836 000 000,20000,USD 209 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Mott Macdonald,Construction,USD 2 498 346 000,16000,USD 33 600,PostgreSQL; MySQL; MySQL; MongoDB; Docker,Kubernetes,"MongoDB, Inc.",Kubernetes,MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch
Move,Real Estate,USD 391 500 000,1939,USD 2 991 000,,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Movement Mortgage,Finance,USD 1 117 286 000,4500,USD 22 700,MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,Microsoft Azure,,MySQL,,
Mozilla,Business Services,USD 562 300 000,2100,USD 6 385 000,PostgreSQL; MySQL; Redis; InfluxDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,mozit.cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
MPC,Media & Internet,USD 644 253 000,1500,USD 23 400,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; Kubernetes; Jenkins,Amazon EC2,Idaho National Laboratory,,MySQL; PostgreSQL,,
Mphasis - Bangalore,Business Services,USD 4 400 000 000,36910,USD 159 200,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Veeam Software,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
MRI Software,Software,USD 837 629 000,5000,USD 99 600,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Lumen Technologies,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch
MSG Systems AG,Business Services,USD 1 316 794 000,8500,USD 68 300,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; Jenkins; Datadog; Prometheus,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
MTN Group,Telecommunications,USD 12 640 000 000,19295,USD 166 900,MySQL; Grafana; MongoDB; Kubernetes; Docker; Apache Kafka,Microsoft Azure,Google Compute Engine,,MySQL,,
Myntra,Retail,USD 970 000 000,5500,USD 1 079 900,MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Datadog; Prometheus; Apache Kafka,Teradata,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch; Apache Solr
MYOB,Software,USD 469 388 000,2803,USD 174 900,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; Jenkins; Prometheus; Snowflake; Splunk,Optus,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; Amazon Relational Database Service,,Elasticsearch
Myriad Genetics,Business Services,USD 753 200 000,2700,USD 3 177 000,PostgreSQL; MySQL; Grafana; Kubernetes; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Amazon S3,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Mytheresa,Retail,USD 861 537 000,1432,USD 1 023 200,MySQL; MongoDB; Docker; Jenkins,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,,Apache Solr; Apache Lucene
Mölnlycke,Manufacturing,USD 1 796 096 000,8070,USD 20 300,MySQL,Interoute,Amazon EC2,,MySQL,,
N26,Finance,USD 404 458 000,1629,USD 235 900,PostgreSQL; MySQL; Redis; Kubernetes; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
N-able Technologies,Business Services,USD 421 880 000,1575,USD 46 400,PostgreSQL; MySQL; Grafana; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Kubernetes,Amazon EC2,Kubernetes,MySQL; MariaDB; PostgreSQL; Amazon Aurora,Apache Kafka,
Nagarro,Business Services,USD 1 011 655 000,19682,USD 75 900,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,"Docker, Inc.",Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora,Confluent; Apache Kafka,Elasticsearch
NASA,Government,USD 24 400 000 000,18000,USD 1 671 300,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,,Elasticsearch; Apache Solr; Apache Lucene
NASA Jet Propulsion Laboratory,Government,USD 2 750 000 000,6000,USD 1 671 300,PostgreSQL; MySQL; InfluxDB; MongoDB; Kubernetes; Docker; Jenkins; Splunk,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,Elasticsearch; Apache Solr
